2025-06-25 17:00:31,376 - WARNING - Could not connect to Arduino
2025-06-25 17:00:32,137 - INFO - Frame processed in 149.39ms, Faces detected: 0, Best name: None
2025-06-25 17:00:32,210 - INFO - Frame processed in 30.42ms, Faces detected: 0, Best name: None
2025-06-25 17:00:32,252 - INFO - Frame processed in 28.81ms, Faces detected: 0, Best name: None
2025-06-25 17:00:32,294 - INFO - Frame processed in 27.32ms, Faces detected: 0, Best name: None
2025-06-25 17:00:32,332 - INFO - Frame processed in 25.25ms, Faces detected: 0, Best name: None
2025-06-25 17:00:32,369 - INFO - Frame processed in 26.53ms, Faces detected: 0, Best name: None
2025-06-25 17:00:32,406 - INFO - Frame processed in 26.79ms, Faces detected: 0, Best name: None
2025-06-25 17:00:32,457 - INFO - Frame processed in 28.72ms, Faces detected: 0, Best name: None
2025-06-25 17:00:32,497 - INFO - Frame processed in 29.35ms, Faces detected: 0, Best name: None
2025-06-25 17:00:32,534 - INFO - Frame processed in 26.12ms, Faces detected: 0, Best name: None
2025-06-25 17:00:32,572 - INFO - Frame processed in 28.06ms, Faces detected: 0, Best name: None
2025-06-25 17:00:32,608 - INFO - Frame processed in 25.90ms, Faces detected: 0, Best name: None
2025-06-25 17:00:32,645 - INFO - Frame processed in 27.01ms, Faces detected: 0, Best name: None
2025-06-25 17:00:32,681 - INFO - Frame processed in 25.14ms, Faces detected: 0, Best name: None
2025-06-25 17:00:32,717 - INFO - Frame processed in 26.15ms, Faces detected: 0, Best name: None
2025-06-25 17:00:32,754 - INFO - Frame processed in 26.85ms, Faces detected: 0, Best name: None
2025-06-25 17:00:32,790 - INFO - Frame processed in 25.33ms, Faces detected: 0, Best name: None
2025-06-25 17:00:32,826 - INFO - Frame processed in 26.68ms, Faces detected: 0, Best name: None
2025-06-25 17:00:32,862 - INFO - Frame processed in 25.67ms, Faces detected: 0, Best name: None
2025-06-25 17:00:32,898 - INFO - Frame processed in 25.45ms, Faces detected: 1, Best name: None
2025-06-25 17:00:32,935 - INFO - Frame processed in 27.29ms, Faces detected: 1, Best name: None
2025-06-25 17:00:32,970 - INFO - Frame processed in 24.77ms, Faces detected: 1, Best name: None
2025-06-25 17:00:33,009 - INFO - Frame processed in 28.09ms, Faces detected: 1, Best name: None
2025-06-25 17:00:33,051 - INFO - Frame processed in 27.05ms, Faces detected: 1, Best name: None
2025-06-25 17:00:33,092 - INFO - Frame processed in 26.22ms, Faces detected: 1, Best name: None
2025-06-25 17:00:33,142 - INFO - Frame processed in 26.64ms, Faces detected: 1, Best name: None
2025-06-25 17:00:33,193 - INFO - Frame processed in 27.95ms, Faces detected: 1, Best name: None
2025-06-25 17:00:33,240 - INFO - Frame processed in 25.72ms, Faces detected: 1, Best name: None
2025-06-25 17:00:33,292 - INFO - Frame processed in 26.78ms, Faces detected: 1, Best name: None
2025-06-25 17:00:33,341 - INFO - Frame processed in 25.84ms, Faces detected: 1, Best name: None
2025-06-25 17:00:33,390 - INFO - Frame processed in 25.79ms, Faces detected: 1, Best name: None
2025-06-25 17:00:33,441 - INFO - Frame processed in 26.23ms, Faces detected: 1, Best name: None
2025-06-25 17:00:33,491 - INFO - Frame processed in 26.10ms, Faces detected: 1, Best name: None
2025-06-25 17:00:33,541 - INFO - Frame processed in 26.26ms, Faces detected: 1, Best name: None
2025-06-25 17:00:33,594 - INFO - Frame processed in 28.84ms, Faces detected: 1, Best name: None
2025-06-25 17:00:33,640 - INFO - Frame processed in 25.86ms, Faces detected: 1, Best name: None
2025-06-25 17:00:33,679 - INFO - Frame processed in 26.83ms, Faces detected: 1, Best name: None
2025-06-25 17:00:33,723 - INFO - Frame processed in 27.64ms, Faces detected: 1, Best name: None
2025-06-25 17:00:33,772 - INFO - Frame processed in 27.89ms, Faces detected: 1, Best name: None
2025-06-25 17:00:33,822 - INFO - Frame processed in 27.43ms, Faces detected: 1, Best name: None
2025-06-25 17:00:33,870 - INFO - Frame processed in 26.14ms, Faces detected: 1, Best name: None
2025-06-25 17:00:33,921 - INFO - Frame processed in 27.14ms, Faces detected: 1, Best name: None
2025-06-25 17:00:33,971 - INFO - Frame processed in 27.21ms, Faces detected: 1, Best name: None
2025-06-25 17:00:34,021 - INFO - Frame processed in 26.92ms, Faces detected: 1, Best name: None
2025-06-25 17:00:34,060 - INFO - Frame processed in 27.91ms, Faces detected: 1, Best name: None
2025-06-25 17:00:34,101 - INFO - Frame processed in 28.05ms, Faces detected: 1, Best name: None
2025-06-25 17:00:34,150 - INFO - Frame processed in 27.51ms, Faces detected: 1, Best name: None
2025-06-25 17:00:34,198 - INFO - Frame processed in 25.49ms, Faces detected: 1, Best name: None
2025-06-25 17:00:34,250 - INFO - Frame processed in 28.00ms, Faces detected: 1, Best name: None
2025-06-25 17:00:34,299 - INFO - Frame processed in 27.04ms, Faces detected: 1, Best name: None
2025-06-25 17:00:34,349 - INFO - Frame processed in 28.28ms, Faces detected: 1, Best name: None
2025-06-25 17:00:34,396 - INFO - Frame processed in 28.43ms, Faces detected: 1, Best name: None
2025-06-25 17:00:34,443 - INFO - Frame processed in 26.03ms, Faces detected: 1, Best name: None
2025-06-25 17:00:34,493 - INFO - Frame processed in 26.65ms, Faces detected: 1, Best name: None
2025-06-25 17:00:34,541 - INFO - Frame processed in 25.75ms, Faces detected: 1, Best name: None
2025-06-25 17:00:34,592 - INFO - Frame processed in 26.99ms, Faces detected: 1, Best name: None
